Model,Dataset,Mig-supScore
RN50,openai,0.06775009424272133
RN50,yfcc15m,0.0710706199949368
RN50,cc12m,0.07572301811365414
RN50-quickgelu,openai,0.06775009424272133
RN50-quickgelu,yfcc15m,0.0710706199949368
RN50-quickgelu,cc12m,0.07572301811365414
RN101,openai,0.06574847759505291
RN101,yfcc15m,0.07487968136500639
ViT-B-16,commonpool_l_basic_s1b_b8k,0.082567829170996
ViT-B-16,commonpool_l_s1b_b8k,0.06941633808420923
ViT-B-16-plus-240,laion400m_e31,0.09999522921170782
ViT-L-14,laion400m_e32,0.07903290986364643
ViT-L-14,laion2b_s32b_b82k,0.0878807687796961
ViT-B-16-plus-240,laion400m_e32,0.09958730320425925
ViT-L-14,openai,0.06388090090846862
ViT-L-14,laion400m_e31,0.07904433305445194
